"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 04:16:54 UTC 2023","Wed May 31 04:17:04 UTC 2023","9630","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed May 31 05:16:10 UTC 2023","Wed May 31 05:16:13 UTC 2023","2597","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"failed","Wed May 31 04:55:54 UTC 2023","Wed May 31 04:58:25 UTC 2023","150400","","Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed May 31 04:15:59 UTC 2023","Wed May 31 04:16:24 UTC 2023","24374","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed May 31 04:36:28 UTC 2023","Wed May 31 04:36:37 UTC 2023","9661","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"failed","Wed May 31 04:33:00 UTC 2023","Wed May 31 04:35:51 UTC 2023","170419","","Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed May 31 05:14:13 UTC 2023","Wed May 31 05:14:21 UTC 2023","8486","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed May 31 05:17:28 UTC 2023","Wed May 31 05:17:32 UTC 2023","3841","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed May 31 04:16:44 UTC 2023","Wed May 31 04:16:46 UTC 2023","2177","","Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed May 31 05:27:18 UTC 2023","Wed May 31 05:27:20 UTC 2023","1767","","Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed May 31 04:15:48 UTC 2023","Wed May 31 04:15:52 UTC 2023","3808","","Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed May 31 05:15:55 UTC 2023","Wed May 31 05:16:10 UTC 2023","15328","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed May 31 05:24:20 UTC 2023","Wed May 31 05:24:38 UTC 2023","18043","","Admin Portal - Check details","","","","1. Log in using manager login",""
"broken","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","2","","Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed May 31 05:24:38 UTC 2023","Wed May 31 05:24:43 UTC 2023","5330","","Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed May 31 04:15:50 UTC 2023","Wed May 31 04:15:59 UTC 2023","9432","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed May 31 04:15:28 UTC 2023","Wed May 31 04:15:43 UTC 2023","15181","","Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed May 31 04:15:42 UTC 2023","Wed May 31 04:15:42 UTC 2023","47","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed May 31 05:14:01 UTC 2023","Wed May 31 05:14:27 UTC 2023","25637","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"skipped","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","0","","Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 31 04:15:18 UTC 2023","Wed May 31 04:15:42 UTC 2023","23772",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"failed","Wed May 31 05:00:55 UTC 2023","Wed May 31 05:03:26 UTC 2023","150410","","Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"failed","Wed May 31 04:43:22 UTC 2023","Wed May 31 04:45:52 UTC 2023","150507","","Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed May 31 05:16:40 UTC 2023","Wed May 31 05:16:43 UTC 2023","2878","","Company Account","","","","6. Review Review Page",""
"passed","Wed May 31 04:16:10 UTC 2023","Wed May 31 04:16:15 UTC 2023","5294",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed May 31 04:36:22 UTC 2023","Wed May 31 04:36:27 UTC 2023","5004","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed May 31 04:33:32 UTC 2023","Wed May 31 04:34:01 UTC 2023","29197","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed May 31 05:16:01 UTC 2023","Wed May 31 05:16:07 UTC 2023","5794","","Company Account","","","","3. Complete Investment Choice",""
"passed","Wed May 31 05:15:53 UTC 2023","Wed May 31 05:16:01 UTC 2023","8377","","Company Account","","","","2. Create a Company Account",""
"failed","Wed May 31 05:35:17 UTC 2023","Wed May 31 05:37:51 UTC 2023","153253","","Client Portal - Administration","","","","4. Check Administration Page",""
